id,mp12a,mp12b,mp12c,mp12d,mp12e,mp12f
899,2,3,1,3,1,3
900,1,3,1,3,3,3
901,3,3,3,1,2,2
902,1,1,1,1,1,3
903,1,1,1,3,2,3
904,3,3,3,3,3,3
905,1,1,1,1,3,1
906,3,3,1,3,3,3
907,1,1,3,3,2,2
908,3,3,1,3,3,3
909,3,1,3,1,3,3
910,1,3,1,3,2,3
911,2,3,1,3,3,3
912,1,1,3,1,2,1
913,1,1,3,1,1,1
914,3,3,3,3,3,3
915,1,2,3,3,2,3
916,1,1,2,3,1,2
917,1,2,2,3,1,3
918,1,1,1,3,3,3
919,3,3,1,3,3,3
920,1,1,3,1,1,1
921,1,1,1,3,2,1
922,1,3,3,3,3,1
923,1,1,1,1,1,3
924,3,3,3,3,3,3
925,3,3,3,3,3,3
926,1,1,3,3,3,3
927,1,1,1,1,1,1
928,1,1,3,3,3,3
929,1,1,3,3,1,3
930,1,3,1,1,1,2
931,3,3,1,3,1,3
932,1,1,1,3,1,3
933,1,1,1,2,2,1
934,1,1,3,2,1,1
935,1,1,3,3,2,1
936,1,1,3,3,1,1
937,1,1,3,3,1,3
938,3,3,1,3,3,3
939,1,3,2,2,3,2
940,1,1,1,3,1,3
941,1,3,3,2,1,3
942,3,3,2,2,2,2
943,2,2,2,2,2,2
944,1,3,3,3,1,1
945,1,1,3,3,1,3
946,1,1,1,1,1,1
947,1,1,1,1,1,1
948,3,3,1,3,1,3
949,1,3,3,3,1,2
950,1,1,3,1,1,1
951,3,3,3,3,3,3
952,3,3,2,3,1,3
953,1,3,3,3,3,3
954,1,3,3,3,3,3
955,1,3,3,3,3,3
956,1,1,3,1,3,3
957,1,1,3,1,1,1
958,1,3,3,3,3,3
959,1,1,3,3,1,3
960,1,1,3,1,1,3
961,3,3,2,2,3,3
962,1,3,3,3,1,3
963,1,1,3,3,3,3
964,2,3,1,3,3,3
965,3,3,3,3,3,3
966,1,1,3,2,3,2
967,3,3,3,3,1,3
968,1,3,3,3,3,3
969,1,1,3,3,1,1
970,1,3,1,1,1,1
971,1,1,3,1,2,1
972,3,3,3,3,3,3
973,1,1,3,3,1,3
974,1,1,3,1,1,1
975,1,3,1,1,3,3
976,1,3,1,3,3,3
977,1,3,3,3,2,3
978,1,1,3,1,1,1
979,1,3,1,3,2,3
980,1,2,3,2,1,1
981,1,1,3,1,3,3
982,1,1,3,3,1,1
983,1,1,3,1,1,3
984,1,1,3,2,1,1
985,1,1,1,3,1,1
986,1,1,3,1,1,1
